client,Lobbyist,Quarterly return period
MAXIMUS,Sovereign Strategy,October to December 2016
Medicines for Malaria Venture,Sovereign Strategy,January to March 2018
Medicines for Malaria Venture (MMV),Sovereign Strategy,April to June 2017
Medicines for Malaria Venture (MMV),Sovereign Strategy,April to June 2018
Medicines for Malaria Venture (MMV),Sovereign Strategy,January to March 2017
Medicines for Malaria Venture (MMV),Sovereign Strategy,July to September 2017
Medicines for Malaria Venture (MMV),Sovereign Strategy,October to December 2016
Medicines for Malaria Venture (MMV),Sovereign Strategy,October to December 2017
North East Economic Forum (NEEF),Sovereign Strategy,April to June 2015
North East Economic Forum (NEEF),Sovereign Strategy,April to June 2016
North East Economic Forum (NEEF),Sovereign Strategy,April to June 2017
North East Economic Forum (NEEF),Sovereign Strategy,April to June 2018
North East Economic Forum (NEEF),Sovereign Strategy,January to March 2015
North East Economic Forum (NEEF),Sovereign Strategy,January to March 2016
North East Economic Forum (NEEF),Sovereign Strategy,January to March 2017
North East Economic Forum (NEEF),Sovereign Strategy,January to March 2018
North East Economic Forum (NEEF),Sovereign Strategy,July to September 2015
North East Economic Forum (NEEF),Sovereign Strategy,July to September 2016
North East Economic Forum (NEEF),Sovereign Strategy,July to September 2017
North East Economic Forum (NEEF),Sovereign Strategy,July to September 2018
North East Economic Forum (NEEF),Sovereign Strategy,October to December 2015
North East Economic Forum (NEEF),Sovereign Strategy,October to December 2016
North East Economic Forum (NEEF),Sovereign Strategy,October to December 2017
Sovereign Sustainability and Development,Sovereign Strategy,April to June 2018
Sovereign Sustainability and Development,Sovereign Strategy,January to March 2018
Sovereign Sustainability and Development,Sovereign Strategy,July to September 2018
TB Alliance,Sovereign Strategy,April to June 2017
TB Alliance,Sovereign Strategy,January to March 2017
TB Alliance,Sovereign Strategy,July to September 2017
TuBerculosis Vaccine Initiative (TBVI),Sovereign Strategy,January to March 2017
TuBerculosis Vaccine Initiative (TBVI),Sovereign Strategy,July to September 2017
TuBerculosis Vaccine Initiative (TBVI),Sovereign Strategy,October to December 2016
Wave-tricity,Sovereign Strategy,January to March 2016
Wave-tricity,Sovereign Strategy,January to March 2017
Wave-tricity,Sovereign Strategy,July to September 2015
Wave-tricity,Sovereign Strategy,July to September 2017
Wave-tricity,Sovereign Strategy,October to December 2015
Wevat,Sovereign Strategy,April to June 2018
Wevat,Sovereign Strategy,January to March 2018
Government of Bermuda,Stikeman Elliott (London) LLP,October to December 2017
International Finance Centres Forum (IFC Forum),Stikeman Elliott (London) LLP,April to June 2017
International Finance Centres Forum (IFC Forum),Stikeman Elliott (London) LLP,April to June 2018
International Finance Centres Forum (IFC Forum),Stikeman Elliott (London) LLP,January to March 2017
International Finance Centres Forum (IFC Forum),Stikeman Elliott (London) LLP,January to March 2018
International Finance Centres Forum (IFC Forum),Stikeman Elliott (London) LLP,July to September 2016
International Finance Centres Forum (IFC Forum),Stikeman Elliott (London) LLP,July to September 2017
International Finance Centres Forum (IFC Forum),Stikeman Elliott (London) LLP,July to September 2018
International Finance Centres Forum (IFC Forum),Stikeman Elliott (London) LLP,October to December 2016
International Finance Centres Forum (IFC Forum),Stikeman Elliott (London) LLP,October to December 2017
AirBNB,Stonehaven Campaigns,July to September 2018
Drax Group plc,Stonehaven Campaigns,July to September 2018
Heathrow Airport Limited,Stonehaven Campaigns,April to June 2016
Heathrow Airport Limited,Stonehaven Campaigns,April to June 2017
Heathrow Airport Limited,Stonehaven Campaigns,January to March 2017
Heathrow Airport Limited,Stonehaven Campaigns,July to September 2017
Heathrow Airport Limited,Stonehaven Campaigns,October to December 2016
Heathrow Airport Limited,Stonehaven Campaigns,October to December 2017
Lateral Property Group Ltd,Stonehaven Campaigns,July to September 2015
Makin Enterprises Ltd,Stonehaven Campaigns,April to June 2016
Makin Enterprises Ltd,Stonehaven Campaigns,April to June 2017
Makin Enterprises Ltd,Stonehaven Campaigns,January to March 2016
Makin Enterprises Ltd,Stonehaven Campaigns,January to March 2017
Makin Enterprises Ltd,Stonehaven Campaigns,July to September 2015
Makin Enterprises Ltd,Stonehaven Campaigns,July to September 2016
Makin Enterprises Ltd,Stonehaven Campaigns,July to September 2017
Makin Enterprises Ltd,Stonehaven Campaigns,October to December 2016
Makin Enterprises Ltd,Stonehaven Campaigns,October to December 2017
Melrose plc,Stonehaven Campaigns,July to September 2018
Openreach,Stonehaven Campaigns,July to September 2018
Raytheon UK,Stonehaven Campaigns,April to June 2017
Raytheon UK,Stonehaven Campaigns,January to March 2017
Raytheon UK,Stonehaven Campaigns,July to September 2018
Scottish Power Ltd,Stonehaven Campaigns,July to September 2018
Symphony Environmental Technologies plc,Stonehaven Campaigns,July to September 2015
Survivors & Victims of Institutional Abuse,Stratagem,April to June 2018
Survivors & Victims of Institutional Abuse,Stratagem,October to December 2017
Forth Ports,T&I Communications Ltd,April to June 2018
Forth Ports,T&I Communications Ltd,January to March 2018
Forth Ports,T&I Communications Ltd,July to September 2018
Forth Ports,T&I Communications Ltd,October to December 2017
Independent Transport Commission,T&I Communications Ltd,April to June 2016
Independent Transport Commission,T&I Communications Ltd,October to December 2016
Port of Dover,T&I Communications Ltd,April to June 2016
Port of Dover,T&I Communications Ltd,January to March 2017
Port of Dover,T&I Communications Ltd,July to September 2016
Port of Dover,T&I Communications Ltd,July to September 2017
Port of Dover,T&I Communications Ltd,July to September 2018
Port of Dover,T&I Communications Ltd,October to December 2015
Port of Dover,T&I Communications Ltd,October to December 2016
Port of Dover,T&I Communications Ltd,October to December 2017
Port of London Authority,T&I Communications Ltd,April to June 2016
Port of London Authority,T&I Communications Ltd,April to June 2017
Port of London Authority,T&I Communications Ltd,April to June 2018
Port of London Authority,T&I Communications Ltd,January to March 2016
Port of London Authority,T&I Communications Ltd,January to March 2017
Port of London Authority,T&I Communications Ltd,January to March 2018
Port of London Authority,T&I Communications Ltd,July to September 2017
Port of London Authority,T&I Communications Ltd,July to September 2018
Port of London Authority,T&I Communications Ltd,October to December 2015
Port of London Authority,T&I Communications Ltd,October to December 2016
Port of London Authority,T&I Communications Ltd,October to December 2017
Port of Milford Haven,T&I Communications Ltd,April to June 2016
Port of Milford Haven,T&I Communications Ltd,January to March 2017
Port of Milford Haven,T&I Communications Ltd,July to September 2018
Port of Tilbury,T&I Communications Ltd,April to June 2016
Port of Tilbury,T&I Communications Ltd,April to June 2017
Port of Tilbury,T&I Communications Ltd,April to June 2018
Port of Tilbury,T&I Communications Ltd,January to March 2017
Port of Tilbury,T&I Communications Ltd,January to March 2018
Port of Tilbury,T&I Communications Ltd,July to September 2016
Port of Tilbury,T&I Communications Ltd,July to September 2017
Port of Tilbury,T&I Communications Ltd,July to September 2018
Port of Tilbury,T&I Communications Ltd,October to December 2015
Port of Tilbury,T&I Communications Ltd,October to December 2016
Port of Tilbury,T&I Communications Ltd,October to December 2017
Port of Tyne,T&I Communications Ltd,April to June 2016
Port of Tyne,T&I Communications Ltd,April to June 2017
Roxhill Developments Ltd,T&I Communications Ltd,July to September 2018
Roxhill Warth Ltd,T&I Communications Ltd,April to June 2018
Roxhill Warth Ltd,T&I Communications Ltd,October to December 2015
Activision Blizzard UK Ltd,Teneo Blue Rubicon Ltd,April to June 2016
Activision Blizzard UK Ltd,Teneo Blue Rubicon Ltd,July to September 2018
Activision Blizzard UK Ltd,Teneo Blue Rubicon Ltd,October to December 2016
Airwave,Teneo Blue Rubicon Ltd,April to June 2016
Airwave,Teneo Blue Rubicon Ltd,January to March 2016
Airwave,Teneo Blue Rubicon Ltd,July to September 2015
Asda,Teneo Blue Rubicon Ltd,April to June 2016
Aston Martin,Teneo Blue Rubicon Ltd,April to June 2017
Aston Martin,Teneo Blue Rubicon Ltd,January to March 2017
Aston Martin,Teneo Blue Rubicon Ltd,July to September 2017
Aston Martin Lagonda Limited,Teneo Blue Rubicon Ltd,April to June 2018
Aston Martin Lagonda Limited,Teneo Blue Rubicon Ltd,January to March 2018
Aston Martin Lagonda Limited,Teneo Blue Rubicon Ltd,July to September 2018
Aston Martin Lagonda Limited,Teneo Blue Rubicon Ltd,October to December 2017
AstraZeneca,Teneo Blue Rubicon Ltd,April to June 2017
British Marine,Teneo Blue Rubicon Ltd,January to March 2017
Coca-Cola,Teneo Blue Rubicon Ltd,January to March 2015
Coca-Cola,Teneo Blue Rubicon Ltd,July to September 2015
Coca-Cola,Teneo Blue Rubicon Ltd,October to December 2015
Countrywide,Teneo Blue Rubicon Ltd,January to March 2017
EngineeringUK,Teneo Blue Rubicon Ltd,April to June 2015
EngineeringUK,Teneo Blue Rubicon Ltd,January to March 2015
EngineeringUK,Teneo Blue Rubicon Ltd,January to March 2016
EngineeringUK,Teneo Blue Rubicon Ltd,October to December 2015
Facebook,Teneo Blue Rubicon Ltd,April to June 2015
Google,Teneo Blue Rubicon Ltd,April to June 2015
Google,Teneo Blue Rubicon Ltd,April to June 2016
Google,Teneo Blue Rubicon Ltd,April to June 2017
Google,Teneo Blue Rubicon Ltd,January to March 2015
Google,Teneo Blue Rubicon Ltd,January to March 2016
Google,Teneo Blue Rubicon Ltd,January to March 2017
Google,Teneo Blue Rubicon Ltd,January to March 2018
Google,Teneo Blue Rubicon Ltd,July to September 2015
Google,Teneo Blue Rubicon Ltd,July to September 2017
Google,Teneo Blue Rubicon Ltd,October to December 2015
Google,Teneo Blue Rubicon Ltd,October to December 2016
Google,Teneo Blue Rubicon Ltd,October to December 2017
Guardian Media Group,Teneo Blue Rubicon Ltd,October to December 2015
Ladbrokes Coral,Teneo Blue Rubicon Ltd,January to March 2017
London Taxi Company,Teneo Blue Rubicon Ltd,January to March 2017
Mondelez,Teneo Blue Rubicon Ltd,January to March 2016
Mondelez,Teneo Blue Rubicon Ltd,January to March 2017
mytaxi,Teneo Blue Rubicon Ltd,April to June 2018
mytaxi,Teneo Blue Rubicon Ltd,January to March 2018
National Grid,Teneo Blue Rubicon Ltd,April to June 2016
National Grid,Teneo Blue Rubicon Ltd,April to June 2018
National Grid,Teneo Blue Rubicon Ltd,July to September 2018
Novartis Pharmaceuticals UK Ltd,Teneo Blue Rubicon Ltd,July to September 2015
Novartis Pharmaceuticals UK Ltd,Teneo Blue Rubicon Ltd,October to December 2015
Prudential plc,Teneo Blue Rubicon Ltd,July to September 2015
Rugby Football Union,Teneo Blue Rubicon Ltd,January to March 2017
The Creative Industries Council,Teneo Blue Rubicon Ltd,April to June 2015
The Dogs Trust,Teneo Blue Rubicon Ltd,July to September 2015
The Dogs Trust,Teneo Blue Rubicon Ltd,October to December 2015
The Investment Association,Teneo Blue Rubicon Ltd,October to December 2015
The Royal Bank of Scotland,Teneo Blue Rubicon Ltd,April to June 2017
The Royal Bank of Scotland,Teneo Blue Rubicon Ltd,July to September 2016
The Royal Bank of Scotland,Teneo Blue Rubicon Ltd,July to September 2017
The Royal Bank of Scotland,Teneo Blue Rubicon Ltd,October to December 2016
The Royal Bank of Scotland,Teneo Blue Rubicon Ltd,October to December 2017
The University of Law,Teneo Blue Rubicon Ltd,January to March 2015
