name,purpose,mmname,position,party
All-Party Parliamentary Group on the Yazidi People,"To gather and share knowledge on the plight of the Yazidi population.  To highlight the discrimination, torture and displacement they have faced in recent years and to increase knowledge of their history, culture and religion among parliamentarians.",Brendan O'Hara,Chair & Registered Contact,Scottish National Party
All-Party Parliamentary Group on the Yazidi People,"To gather and share knowledge on the plight of the Yazidi population.  To highlight the discrimination, torture and displacement they have faced in recent years and to increase knowledge of their history, culture and religion among parliamentarians.",David Linden,Secretary,Scottish National Party
All-Party Parliamentary Group on the Yazidi People,"To gather and share knowledge on the plight of the Yazidi population.  To highlight the discrimination, torture and displacement they have faced in recent years and to increase knowledge of their history, culture and religion among parliamentarians.",Jim Shannon,Vice Chair,Democratic Unionist Party
All-Party Parliamentary Group on the Yazidi People,"To gather and share knowledge on the plight of the Yazidi population.  To highlight the discrimination, torture and displacement they have faced in recent years and to increase knowledge of their history, culture and religion among parliamentarians.",Lloyd Russell-Moyle,Vice Chair,Labour (Co-op)
All-Party Parliamentary Group on the Yazidi People,"To gather and share knowledge on the plight of the Yazidi population.  To highlight the discrimination, torture and displacement they have faced in recent years and to increase knowledge of their history, culture and religion among parliamentarians.",Mr Bob Seely,Vice Chair,Conservative
All-Party Parliamentary Group on the Yazidi People,"To gather and share knowledge on the plight of the Yazidi population.  To highlight the discrimination, torture and displacement they have faced in recent years and to increase knowledge of their history, culture and religion among parliamentarians.",Ross Thomson,Vice Chair,Conservative
All-Party Parliamentary Group on the Yazidi People,"To gather and share knowledge on the plight of the Yazidi population.  To highlight the discrimination, torture and displacement they have faced in recent years and to increase knowledge of their history, culture and religion among parliamentarians.",Jeremy Lefroy,Vice Chair,Conservative
All-Party Parliamentary Group on the Yazidi People,"To gather and share knowledge on the plight of the Yazidi population.  To highlight the discrimination, torture and displacement they have faced in recent years and to increase knowledge of their history, culture and religion among parliamentarians.",Lord Macpherson of Earl's Court,Vice Chair,Crossbench
All-Party Parliamentary Group on Yoga in Society,To bring to the notice of Parliament and the public the long-term beneficial effects of Yoga within society and in particular in: health (physical and mental); the workplace (wellbeing and teamwork); the criminal justice system (for criminals and police); and education (for students and teachers).,Mr Jonathan Lord,Chair & Registered Contact,Conservative
All-Party Parliamentary Group on Yoga in Society,To bring to the notice of Parliament and the public the long-term beneficial effects of Yoga within society and in particular in: health (physical and mental); the workplace (wellbeing and teamwork); the criminal justice system (for criminals and police); and education (for students and teachers).,Catherine West,Co-Chair,Labour
All-Party Parliamentary Group on Yoga in Society,To bring to the notice of Parliament and the public the long-term beneficial effects of Yoga within society and in particular in: health (physical and mental); the workplace (wellbeing and teamwork); the criminal justice system (for criminals and police); and education (for students and teachers).,Lord Brooke of Alverthorpe,Co-Chair,Labour
All-Party Parliamentary Group on Yoga in Society,To bring to the notice of Parliament and the public the long-term beneficial effects of Yoga within society and in particular in: health (physical and mental); the workplace (wellbeing and teamwork); the criminal justice system (for criminals and police); and education (for students and teachers).,Baroness Grey-Thompson,Vice Chair,Crossbench
All-Party Parliamentary Group on Yoga in Society,To bring to the notice of Parliament and the public the long-term beneficial effects of Yoga within society and in particular in: health (physical and mental); the workplace (wellbeing and teamwork); the criminal justice system (for criminals and police); and education (for students and teachers).,Sir Peter Bottomley,Vice Chair,Conservative
All-Party Parliamentary Group on Yoga in Society,To bring to the notice of Parliament and the public the long-term beneficial effects of Yoga within society and in particular in: health (physical and mental); the workplace (wellbeing and teamwork); the criminal justice system (for criminals and police); and education (for students and teachers).,Lord Stone of Blackheath,Treasurer,Labour
